label-dash	label_snail	label	isPartOf	subPropertyOf	equivalentProperty	subproperties	domainIncludes	rangeIncludes	inverseOf	supersedes	supersededBy	comment
is-variant-of	is_variant_of	isVariantOf					Product, ProductModel	ProductGroup, ProductModel	hasVariant			"Indicates the kind of product that this is a variant of. In the case of <a class=""localLink"" href=""/ProductModel"">ProductModel</a>, this is a pointer (from a ProductModel) to a base product from which this product is a variant. It is safe to infer that the variant inherits all product features from the base model, unless defined locally. This is not transitive. In the case of a <a class=""localLink"" href=""/ProductGroup"">ProductGroup</a>, the group description also serves as a template, representing a set of Products that vary on explicitly defined, specific dimensions only (so it defines both a set of variants, as well as which values distinguish amongst those variants). When used with <a class=""localLink"" href=""/ProductGroup"">ProductGroup</a>, this property can apply to any <a class=""localLink"" href=""/Product"">Product</a> included in the group."
isbn	isbn	isbn		identifier	http://purl.org/ontology/bibo/isbn		Book	Text				The ISBN of the book.
isic-v4	isic_v4	isicV4					Organization, Person, Place	Text				The International Standard of Industrial Classification of All Economic Activities (ISIC), Revision 4 code for a particular organization, business person, or place.
iso6523code	iso6523code	iso6523Code	pending:				Organization	Text				"An organization identifier as defined in ISO 6523(-1). Note that many existing organization identifiers such as <a href=""leiCode"">leiCode</a>, <a href=""duns"">duns</a> and <a href=""vatID"">vatID</a> can be expressed as an ISO 6523 identifier by setting the ICD part of the ISO 6523 identifier accordingly."
isrc-code	isrc_code	isrcCode					MusicRecording	Text				The International Standard Recording Code for the recording.
issn	issn	issn		identifier	http://purl.org/ontology/bibo/issn		Blog, CreativeWorkSeries, Dataset, WebSite	Text				The International Standard Serial Number (ISSN) that identifies this serial publication. You can repeat this property to identify different formats of, or the linking ISSN (ISSN-L) for, this serial publication.
issue-number	issue_number	issueNumber		position	http://purl.org/ontology/bibo/issue		PublicationIssue	Integer, Text				"Identifies the issue of publication; for example, ""iii"" or ""2""."
issued-by	issued_by	issuedBy					Permit, Ticket	Organization				The organization issuing the ticket or permit.
issued-through	issued_through	issuedThrough					Permit	Service				The service through which the permit was granted.
iswc-code	iswc_code	iswcCode					MusicComposition	Text				The International Standard Musical Work Code for the composition.
item	item	item					DataFeedItem, ListItem	Thing				An entity represented by an entry in a list or data feed (e.g. an 'artist' in a list of 'artists').
item-condition	item_condition	itemCondition					Demand, MerchantReturnPolicy, Offer, Product	OfferItemCondition				A predefined value from OfferItemCondition specifying the condition of the product or service, or the products or services included in the offer. Also used for product return policies to specify the condition of products accepted for returns.
item-defect-return-fees	item_defect_return_fees	itemDefectReturnFees	pending:				MerchantReturnPolicy	ReturnFeesEnumeration				The type of return fees for returns of defect products.
item-defect-return-label-source	item_defect_return_label_source	itemDefectReturnLabelSource	pending:				MerchantReturnPolicy	ReturnLabelSourceEnumeration				The method (from an enumeration) by which the customer obtains a return shipping label for a defect product.
item-defect-return-shipping-fees-amount	item_defect_return_shipping_fees_amount	itemDefectReturnShippingFeesAmount	pending:				MerchantReturnPolicy	MonetaryAmount				"Amount of shipping costs for defect product returns. Applicable when property <a class=""localLink"" href=""/itemDefectReturnFees"">itemDefectReturnFees</a> equals <a class=""localLink"" href=""/ReturnShippingFees"">ReturnShippingFees</a>."
item-list-element	item_list_element	itemListElement					ItemList	ListItem, Text, Thing				"For itemListElement values, you can use simple strings (e.g. ""Peter"", ""Paul"", ""Mary""), existing entities, or use ListItem.<br/><br/>

Text values are best if the elements in the list are plain strings. Existing entities are best for a simple, unordered list of existing things in your data. ListItem is used with ordered lists when you want to provide additional context about the element in that list or when the same item might be in different places in different lists.<br/><br/>

Note: The order of elements in your mark-up is not sufficient for indicating the order or elements.  Use ListItem with a 'position' property in such cases."
item-list-order	item_list_order	itemListOrder					ItemList	ItemListOrderType, Text				Type of ordering (e.g. Ascending, Descending, Unordered).
item-location	item_location	itemLocation	pending:	location			ArchiveComponent	Place, PostalAddress, Text				Current location of the item.
item-offered	item_offered	itemOffered					Demand, Offer	AggregateOffer, CreativeWork, Event, MenuItem, Product, Service, Trip	offers			"An item being offered (or demanded). The transactional nature of the offer or demand is documented using <a class=""localLink"" href=""/businessFunction"">businessFunction</a>, e.g. sell, lease etc. While several common expected types are listed explicitly in this definition, others can be used. Using a second type, such as Product or a subtype of Product, can clarify the nature of the offer."
item-reviewed	item_reviewed	itemReviewed					AggregateRating, Review	Thing				The item that is being reviewed/rated.
item-shipped	item_shipped	itemShipped					ParcelDelivery	Product				Item(s) being shipped.
itinerary	itinerary	itinerary	pending:				Trip	ItemList, Place				"Destination(s) ( <a class=""localLink"" href=""/Place"">Place</a> ) that make up a trip. For a trip where destination order is important use <a class=""localLink"" href=""/ItemList"">ItemList</a> to specify that order (see examples)."
iupac-name	iupac_name	iupacName	pending:				MolecularEntity	Text				Systematic method of naming chemical compounds as recommended by the International Union of Pure and Applied Chemistry (IUPAC).
job-benefits	job_benefits	jobBenefits					JobPosting	Text		benefits		Description of benefits associated with the job.
job-immediate-start	job_immediate_start	jobImmediateStart	pending:				JobPosting	Boolean				An indicator as to whether a position is available for an immediate start.
job-location	job_location	jobLocation					JobPosting	Place				A (typically single) geographic location associated with the job position.
job-location-type	job_location_type	jobLocationType	pending:				JobPosting	Text				A description of the job location (e.g. TELECOMMUTE for telecommute jobs).
job-start-date	job_start_date	jobStartDate	pending:				JobPosting	Date, Text				The date on which a successful applicant for this job would be expected to start work. Choose a specific date in the future or use the jobImmediateStart property to indicate the position is to be filled as soon as possible.
job-title	job_title	jobTitle	pending:				Person	DefinedTerm, Text				The job title of the person (for example, Financial Manager).
jurisdiction	jurisdiction	jurisdiction	pending:			legislationJurisdiction	GovernmentService, Legislation	AdministrativeArea, Text				Indicates a legal jurisdiction, e.g. of some legislation, or where some government service is based.
keywords	keywords	keywords					CreativeWork, Event, Organization, Place, Product	DefinedTerm, Text, URL				Keywords or tags used to describe some item. Multiple textual entries in a keywords list are typically delimited by commas, or by repeating the property.
known-vehicle-damages	known_vehicle_damages	knownVehicleDamages					Vehicle	Text				A textual description of known damages, both repaired and unrepaired.
knows	knows	knows					Person	Person				The most generic bi-directional social/work relation.
knows-about	knows_about	knowsAbout	pending:				Organization, Person	Text, Thing, URL				"Of a <a class=""localLink"" href=""/Person"">Person</a>, and less typically of an <a class=""localLink"" href=""/Organization"">Organization</a>, to indicate a topic that is known about - suggesting possible expertise but not implying it. We do not distinguish skill levels here, or relate this to educational content, events, objectives or <a class=""localLink"" href=""/JobPosting"">JobPosting</a> descriptions."
knows-language	knows_language	knowsLanguage	pending:				Organization, Person	Language, Text				"Of a <a class=""localLink"" href=""/Person"">Person</a>, and less typically of an <a class=""localLink"" href=""/Organization"">Organization</a>, to indicate a known language. We do not distinguish skill levels or reading/writing/speaking/signing here. Use language codes from the <a href=""http://tools.ietf.org/html/bcp47"">IETF BCP 47 standard</a>."
label-details	label_details	labelDetails					Drug	URL				Link to the drug's label details.
landlord	landlord	landlord		participant			RentAction	Organization, Person				A sub property of participant. The owner of the real estate property.
language	language	language		instrument			CommunicateAction, WriteAction	Language			inLanguage	A sub property of instrument. The language used on this action.
last-reviewed	last_reviewed	lastReviewed					WebPage	Date				Date on which the content on this web page was last reviewed for accuracy and/or completeness.
latitude	latitude	latitude					GeoCoordinates, Place	Number, Text				"The latitude of a location. For example <code>37.42242</code> (<a href=""https://en.wikipedia.org/wiki/World_Geodetic_System"">WGS 84</a>)."
layout-image	layout_image	layoutImage	pending:	image			FloorPlan	ImageObject, URL				A schematic image showing the floorplan layout.
learning-resource-type	learning_resource_type	learningResourceType					CreativeWork, LearningResource	DefinedTerm, Text				The predominant type or kind characterizing the learning resource. For example, 'presentation', 'handout'.
lease-length	lease_length	leaseLength	pending:				Accommodation, Offer, RealEstateListing	Duration, QuantitativeValue				"Length of the lease for some <a class=""localLink"" href=""/Accommodation"">Accommodation</a>, either particular to some <a class=""localLink"" href=""/Offer"">Offer</a> or in some cases intrinsic to the property."
legal-name	legal_name	legalName					Organization	Text				The official name of the organization, e.g. the registered company name.
legal-status	legal_status	legalStatus					DietarySupplement, Drug, MedicalEntity	DrugLegalStatus, MedicalEnumeration, Text				The drug or supplement's legal status, including any controlled substance schedules that apply.
legislation-applies	legislation_applies	legislationApplies	pending:		http://data.europa.eu/eli/ontology#implements	legislationTransposes	Legislation	Legislation				"Indicates that this legislation (or part of a legislation) somehow transfers another legislation in a different legislative context. This is an informative link, and it has no legal value. For legally-binding links of transposition, use the <a href=""/legislationTransposes"">legislationTransposes</a> property. For example an informative consolidated law of a European Union's member state ""applies"" the consolidated version of the European Directive implemented in it."
legislation-changes	legislation_changes	legislationChanges	pending:		http://data.europa.eu/eli/ontology#changes		Legislation	Legislation				"Another legislation that this legislation changes. This encompasses the notions of amendment, replacement, correction, repeal, or other types of change. This may be a direct change (textual or non-textual amendment) or a consequential or indirect change. The property is to be used to express the existence of a change relationship between two acts rather than the existence of a consolidated version of the text that shows the result of the change. For consolidation relationships, use the <a href=""/legislationConsolidates"">legislationConsolidates</a> property."
legislation-consolidates	legislation_consolidates	legislationConsolidates	pending:		http://data.europa.eu/eli/ontology#consolidates		Legislation	Legislation				Indicates another legislation taken into account in this consolidated legislation (which is usually the product of an editorial process that revises the legislation). This property should be used multiple times to refer to both the original version or the previous consolidated version, and to the legislations making the change.
legislation-date	legislation_date	legislationDate	pending:	dateCreated	http://data.europa.eu/eli/ontology#date_document		Legislation	Date				The date of adoption or signature of the legislation. This is the date at which the text is officially aknowledged to be a legislation, even though it might not even be published or in force.
legislation-date-version	legislation_date_version	legislationDateVersion	pending:		http://data.europa.eu/eli/ontology#version_date		Legislation	Date				"The point-in-time at which the provided description of the legislation is valid (e.g.: when looking at the law on the 2016-04-07 (= dateVersion), I get the consolidation of 2015-04-12 of the ""National Insurance Contributions Act 2015"")"
legislation-identifier	legislation_identifier	legislationIdentifier	pending:	identifier			Legislation	Text, URL				An identifier for the legislation. This can be either a string-based identifier, like the CELEX at EU level or the NOR in France, or a web-based, URL/URI identifier, like an ELI (European Legislation Identifier) or an URN-Lex.
legislation-jurisdiction	legislation_jurisdiction	legislationJurisdiction	pending:	jurisdiction, spatialCoverage	http://data.europa.eu/eli/ontology#jurisdiction		Legislation	AdministrativeArea, Text				The jurisdiction from which the legislation originates.
legislation-legal-force	legislation_legal_force	legislationLegalForce	pending:		http://data.europa.eu/eli/ontology#in_force		Legislation	LegalForceStatus				Whether the legislation is currently in force, not in force, or partially in force.
legislation-legal-value	legislation_legal_value	legislationLegalValue	pending:		http://data.europa.eu/eli/ontology#legal_value		LegislationObject	LegalValueLevel				"The legal value of this legislation file. The same legislation can be written in multiple files with different legal values. Typically a digitally signed PDF have a ""stronger"" legal value than the HTML file of the same act."
legislation-passed-by	legislation_passed_by	legislationPassedBy	pending:	creator	http://data.europa.eu/eli/ontology#passed_by		Legislation	Organization, Person				"The person or organization that originally passed or made the law: typically parliament (for primary legislation) or government (for secondary legislation). This indicates the ""legal author"" of the law, as opposed to its physical author."
legislation-responsible	legislation_responsible	legislationResponsible	pending:		http://data.europa.eu/eli/ontology#responsibility_of		Legislation	Organization, Person				An individual or organization that has some kind of responsibility for the legislation. Typically the ministry who is/was in charge of elaborating the legislation, or the adressee for potential questions about the legislation once it is published.
legislation-transposes	legislation_transposes	legislationTransposes	pending:	legislationApplies	http://data.europa.eu/eli/ontology#transposes		Legislation	Legislation				Indicates that this legislation (or part of legislation) fulfills the objectives set by another legislation, by passing appropriate implementation measures. Typically, some legislations of European Union's member states or regions transpose European Directives. This indicates a legally binding link between the 2 legislations.
legislation-type	legislation_type	legislationType	pending:	genre	http://data.europa.eu/eli/ontology#type_document		Legislation	CategoryCode, Text				"The type of the legislation. Examples of values are ""law"", ""act"", ""directive"", ""decree"", ""regulation"", ""statutory instrument"", ""loi organique"", ""r�glement grand-ducal"", etc., depending on the country."
lei-code	lei_code	leiCode		identifier			Organization	Text				An organization identifier that uniquely identifies a legal entity as defined in ISO 17442.
lender	lender	lender		participant			BorrowAction	Organization, Person				A sub property of participant. The person that lends the object being borrowed.
lesser	lesser	lesser					QualitativeValue	QualitativeValue				This ordering relation for qualitative values indicates that the subject is lesser than the object.
lesser-or-equal	lesser_or_equal	lesserOrEqual					QualitativeValue	QualitativeValue				This ordering relation for qualitative values indicates that the subject is lesser than or equal to the object.
letterer	letterer	letterer	https://bib.schema.org				ComicIssue, ComicStory, VisualArtwork	Person				The individual who adds lettering, including speech balloons and sound effects, to artwork.
license	license	license					CreativeWork	CreativeWork, URL				A license document that applies to this content, typically indicated by URL.
line	line	line					GeoShape	Text				A line is a point-to-point path consisting of two or more points. A line is expressed as a series of two or more point objects separated by space.
link-relationship	link_relationship	linkRelationship	pending:				LinkRole	Text				Indicates the relationship type of a Web link.
live-blog-update	live_blog_update	liveBlogUpdate					LiveBlogPosting	BlogPosting				An update to the LiveBlog.
loan-mortgage-mandate-amount	loan_mortgage_mandate_amount	loanMortgageMandateAmount	pending:				MortgageLoan	MonetaryAmount				Amount of mortgage mandate that can be converted into a proper mortgage at a later stage.
loan-payment-amount	loan_payment_amount	loanPaymentAmount	pending:				RepaymentSpecification	MonetaryAmount				The amount of money to pay in a single payment.
loan-payment-frequency	loan_payment_frequency	loanPaymentFrequency	pending:				RepaymentSpecification	Number				Frequency of payments due, i.e. number of months between payments. This is defined as a frequency, i.e. the reciprocal of a period of time.
loan-repayment-form	loan_repayment_form	loanRepaymentForm	pending:				LoanOrCredit	RepaymentSpecification				A form of paying back money previously borrowed from a lender. Repayment usually takes the form of periodic payments that normally include part principal plus interest in each payment.
loan-term	loan_term	loanTerm		duration			LoanOrCredit	QuantitativeValue				The duration of the loan or credit agreement.
loan-type	loan_type	loanType	pending:				LoanOrCredit	Text, URL				The type of a loan or credit.
location	location	location				course, entertainmentBusiness, exerciseCourse, foodEstablishment, foodEvent, fromLocation, homeLocation, itemLocation, sportsActivityLocation, sportsEvent, toLocation, workLocation	Action, Event, InteractionCounter, Organization	Place, PostalAddress, Text, VirtualLocation				The location of, for example, where an event is happening, where an organization is located, or where an action takes place.
location-created	location_created	locationCreated					CreativeWork	Place				The location where the CreativeWork was created, which may not be the same as the location depicted in the CreativeWork.
lodging-unit-description	lodging_unit_description	lodgingUnitDescription					LodgingReservation	Text				A full description of the lodging unit.
lodging-unit-type	lodging_unit_type	lodgingUnitType					LodgingReservation	QualitativeValue, Text				Textual description of the unit type (including suite vs. room, size of bed, etc.).
logo	logo	logo		image			Brand, Organization, Place, Product, Service	ImageObject, URL				An associated logo.
longitude	longitude	longitude					GeoCoordinates, Place	Number, Text				"The longitude of a location. For example <code>-122.08585</code> (<a href=""https://en.wikipedia.org/wiki/World_Geodetic_System"">WGS 84</a>)."
loser	loser	loser		participant			WinAction	Person				A sub property of participant. The loser of the action.
low-price	low_price	lowPrice					AggregateOffer	Number, Text				"The lowest price of all offers available.<br/><br/>

Usage guidelines:<br/><br/>

<ul>
<li>Use values from 0123456789 (Unicode 'DIGIT ZERO' (U+0030) to 'DIGIT NINE' (U+0039)) rather than superficially similar Unicode symbols.</li>
<li>Use '.' (Unicode 'FULL STOP' (U+002E)) rather than ',' to indicate a decimal point. Avoid using these symbols as a readability separator.</li>
</ul>"
lyricist	lyricist	lyricist					MusicComposition	Person				The person who wrote the words.
lyrics	lyrics	lyrics					MusicComposition	CreativeWork				The words in the song.
main-content-of-page	main_content_of_page	mainContentOfPage					WebPage	WebPageElement		aspect		Indicates if this web page element is the main subject of the page.
main-entity	main_entity	mainEntity		about			CreativeWork	Thing	mainEntityOfPage			Indicates the primary entity described in some page or other CreativeWork.
main-entity-of-page	main_entity_of_page	mainEntityOfPage					Thing	CreativeWork, URL	mainEntity			"Indicates a page (or other CreativeWork) for which this thing is the main entity being described. See <a href=""/docs/datamodel.html#mainEntityBackground"">background notes</a> for details."
maintainer	maintainer	maintainer	pending:				CreativeWork	Organization, Person				"A maintainer of a <a class=""localLink"" href=""/Dataset"">Dataset</a>, software package (<a class=""localLink"" href=""/SoftwareApplication"">SoftwareApplication</a>), or other <a class=""localLink"" href=""/Project"">Project</a>. A maintainer is a <a class=""localLink"" href=""/Person"">Person</a> or <a class=""localLink"" href=""/Organization"">Organization</a> that manages contributions to, and/or publication of, some (typically complex) artifact. It is common for distributions of software and data to be based on ""upstream"" sources. When <a class=""localLink"" href=""/maintainer"">maintainer</a> is applied to a specific version of something e.g. a particular version or packaging of a <a class=""localLink"" href=""/Dataset"">Dataset</a>, it is always  possible that the upstream source has a different maintainer. The <a class=""localLink"" href=""/isBasedOn"">isBasedOn</a> property can be used to indicate such relationships between datasets to make the different maintenance roles clear. Similarly in the case of software, a package may have dedicated maintainers working on integration into software distributions such as Ubuntu, as well as upstream maintainers of the underlying work."
makes-offer	makes_offer	makesOffer					Organization, Person	Offer	offeredBy			A pointer to products or services offered by the organization or person.
manufacturer	manufacturer	manufacturer					Product	Organization				The manufacturer of the product.
map	map	map					Place	URL			hasMap	A URL to a map of the place.
map-type	map_type	mapType					Map	MapCategoryType				Indicates the kind of Map, from the MapCategoryType Enumeration.
maps	maps	maps					Place	URL			hasMap	A URL to a map of the place.
margin-of-error	margin_of_error	marginOfError	pending:				Observation	QuantitativeValue				"A marginOfError for an <a class=""localLink"" href=""/Observation"">Observation</a>."
masthead	masthead	masthead	pending:	publishingPrinciples			NewsMediaOrganization	CreativeWork, URL				"For a <a class=""localLink"" href=""/NewsMediaOrganization"">NewsMediaOrganization</a>, a link to the masthead page or a page listing top editorial management."
material	material	material				artMedium, surface	CreativeWork, Product	Product, Text, URL				A material that something is made from, e.g. leather, wool, cotton, paper.
material-extent	material_extent	materialExtent	pending:				CreativeWork	QuantitativeValue, Text				The quantity of the materials being described or an expression of the physical space they occupy.
math-expression	math_expression	mathExpression	pending:				MathSolver	SolveMathAction, Text				A mathematical expression (e.g. 'x^2-3x=0') that may be solved for a specific variable, simplified, or transformed. This can take many formats, e.g. LaTeX, Ascii-Math, or math as you would write with a keyboard.
max-price	max_price	maxPrice					PriceSpecification	Number				The highest price if the price is a range.
max-value	max_value	maxValue					MonetaryAmount, PropertyValue, PropertyValueSpecification, QuantitativeValue	Number				The upper value of some characteristic or property.
maximum-attendee-capacity	maximum_attendee_capacity	maximumAttendeeCapacity					Event, Place	Integer				The total number of individuals that may attend an event or venue.
maximum-enrollment	maximum_enrollment	maximumEnrollment	pending:				EducationalOccupationalProgram	Integer				The maximum number of students who may be enrolled in the program.
maximum-intake	maximum_intake	maximumIntake					DietarySupplement, Drug, DrugStrength, Substance	MaximumDoseSchedule				Recommended intake of this supplement for a given population as defined by a specific recommending authority.
maximum-physical-attendee-capacity	maximum_physical_attendee_capacity	maximumPhysicalAttendeeCapacity	pending:				Event	Integer				"The maximum physical attendee capacity of an <a class=""localLink"" href=""/Event"">Event</a> whose <a class=""localLink"" href=""/eventAttendanceMode"">eventAttendanceMode</a> is <a class=""localLink"" href=""/OfflineEventAttendanceMode"">OfflineEventAttendanceMode</a> (or the offline aspects, in the case of a <a class=""localLink"" href=""/MixedEventAttendanceMode"">MixedEventAttendanceMode</a>)."
maximum-virtual-attendee-capacity	maximum_virtual_attendee_capacity	maximumVirtualAttendeeCapacity	pending:				Event	Integer				"The maximum physical attendee capacity of an <a class=""localLink"" href=""/Event"">Event</a> whose <a class=""localLink"" href=""/eventAttendanceMode"">eventAttendanceMode</a> is <a class=""localLink"" href=""/OnlineEventAttendanceMode"">OnlineEventAttendanceMode</a> (or the online aspects, in the case of a <a class=""localLink"" href=""/MixedEventAttendanceMode"">MixedEventAttendanceMode</a>)."
meal-service	meal_service	mealService					Flight	Text				Description of the meals that will be provided or available for purchase.
measured-property	measured_property	measuredProperty	pending:				Observation	Property				"The measuredProperty of an <a class=""localLink"" href=""/Observation"">Observation</a>, either a schema.org property, a property from other RDF-compatible systems, e.g. W3C RDF Data Cube, or schema.org extensions such as <a href=""https://www.gs1.org/voc/?show=properties"">GS1's</a>."
measured-value	measured_value	measuredValue	pending:				Observation	DataType				"The measuredValue of an <a class=""localLink"" href=""/Observation"">Observation</a>."
measurement-technique	measurement_technique	measurementTechnique	pending:				DataCatalog, DataDownload, Dataset, PropertyValue	Text, URL				"A technique or technology used in a <a class=""localLink"" href=""/Dataset"">Dataset</a> (or <a class=""localLink"" href=""/DataDownload"">DataDownload</a>, <a class=""localLink"" href=""/DataCatalog"">DataCatalog</a>),
corresponding to the method used for measuring the corresponding variable(s) (described using <a class=""localLink"" href=""/variableMeasured"">variableMeasured</a>). This is oriented towards scientific and scholarly dataset publication but may have broader applicability; it is not intended as a full representation of measurement, but rather as a high level summary for dataset discovery.<br/><br/>

For example, if <a class=""localLink"" href=""/variableMeasured"">variableMeasured</a> is: molecule concentration, <a class=""localLink"" href=""/measurementTechnique"">measurementTechnique</a> could be: ""mass spectrometry"" or ""nmr spectroscopy"" or ""colorimetry"" or ""immunofluorescence"".<br/><br/>

If the <a class=""localLink"" href=""/variableMeasured"">variableMeasured</a> is ""depression rating"", the <a class=""localLink"" href=""/measurementTechnique"">measurementTechnique</a> could be ""Zung Scale"" or ""HAM-D"" or ""Beck Depression Inventory"".<br/><br/>

If there are several <a class=""localLink"" href=""/variableMeasured"">variableMeasured</a> properties recorded for some given data object, use a <a class=""localLink"" href=""/PropertyValue"">PropertyValue</a> for each <a class=""localLink"" href=""/variableMeasured"">variableMeasured</a> and attach the corresponding <a class=""localLink"" href=""/measurementTechnique"">measurementTechnique</a>."
mechanism-of-action	mechanism_of_action	mechanismOfAction					DietarySupplement, Drug	Text				The specific biochemical interaction through which this drug or supplement produces its pharmacological effect.
media-authenticity-category	media_authenticity_category	mediaAuthenticityCategory	pending:				MediaReview	MediaManipulationRatingEnumeration				Indicates a MediaManipulationRatingEnumeration classification of a media object (in the context of how it was published or shared).
media-item-appearance	media_item_appearance	mediaItemAppearance	pending:				MediaReviewItem	MediaObject				"In the context of a <a class=""localLink"" href=""/MediaReview"">MediaReview</a>, indicates specific media item(s) that are grouped using a <a class=""localLink"" href=""/MediaReviewItem"">MediaReviewItem</a>."
median	median	median					QuantitativeValueDistribution	Number				The median value.
medical-audience	medical_audience	medicalAudience					MedicalWebPage	MedicalAudience, MedicalAudienceType				Medical audience for page.
medical-specialty	medical_specialty	medicalSpecialty					Hospital, MedicalClinic, MedicalOrganization, Physician	MedicalSpecialty				A medical specialty of the provider.
medicine-system	medicine_system	medicineSystem					MedicalEntity	MedicineSystem				The system of medicine that includes this MedicalEntity, for example 'evidence-based', 'homeopathic', 'chiropractic', etc.
meets-emission-standard	meets_emission_standard	meetsEmissionStandard	https://auto.schema.org				Vehicle	QualitativeValue, Text, URL				Indicates that the vehicle meets the respective emission standard.
member	member	member					Organization, ProgramMembership	Organization, Person	memberOf	members, musicGroupMember		"A member of an Organization or a ProgramMembership. Organizations can be members of organizations; ProgramMembership is typically for individuals."
member-of	member_of	memberOf				affiliation	Organization, Person	Organization, ProgramMembership	member			An Organization (or ProgramMembership) to which this Person or Organization belongs.
members	members	members					Organization, ProgramMembership	Organization, Person			member	A member of this organization.
membership-number	membership_number	membershipNumber					ProgramMembership	Text				A unique identifier for the membership.
membership-points-earned	membership_points_earned	membershipPointsEarned	pending:				ProgramMembership	Number, QuantitativeValue				The number of membership points earned by the member. If necessary, the unitText can be used to express the units the points are issued in. (E.g. stars, miles, etc.)
memory-requirements	memory_requirements	memoryRequirements					SoftwareApplication	Text, URL				Minimum memory requirements.
mentions	mentions	mentions					CreativeWork	Thing				Indicates that the CreativeWork contains a reference to, but is not necessarily about a concept.
menu	menu	menu					FoodEstablishment	Menu, Text, URL			hasMenu	Either the actual menu as a structured representation, as text, or a URL of the menu.
menu-add-on	menu_add_on	menuAddOn					MenuItem	MenuItem, MenuSection				Additional menu item(s) such as a side dish of salad or side order of fries that can be added to this menu item. Additionally it can be a menu section containing allowed add-on menu items for this menu item.
merchant	merchant	merchant					Order	Organization, Person			seller	'merchant' is an out-dated term for 'seller'.
merchant-return-days	merchant_return_days	merchantReturnDays	pending:				MerchantReturnPolicy, MerchantReturnPolicySeasonalOverride	Date, DateTime, Integer		productReturnDays		"Specifies either a fixed return date or the number of days (from the delivery date) that a product can be returned. Used when the <a class=""localLink"" href=""/returnPolicyCategory"">returnPolicyCategory</a> property is specified as <a class=""localLink"" href=""/MerchantReturnFiniteReturnWindow"">MerchantReturnFiniteReturnWindow</a>."
merchant-return-link	merchant_return_link	merchantReturnLink	pending:				MerchantReturnPolicy	URL		productReturnLink		Specifies a Web page or service by URL, for product returns.
message-attachment	message_attachment	messageAttachment					Message	CreativeWork				A CreativeWork attached to the message.
mileage-from-odometer	mileage_from_odometer	mileageFromOdometer					Vehicle	QuantitativeValue				"The total distance travelled by the particular vehicle since its initial production, as read from its odometer.<br/><br/>

Typical unit code(s): KMT for kilometers, SMI for statute miles"
min-price	min_price	minPrice					PriceSpecification	Number				The lowest price if the price is a range.
min-value	min_value	minValue					MonetaryAmount, PropertyValue, PropertyValueSpecification, QuantitativeValue	Number				The lower value of some characteristic or property.
minimum-payment-due	minimum_payment_due	minimumPaymentDue					Invoice	MonetaryAmount, PriceSpecification				The minimum payment required at this time.
mission-coverage-priorities-policy	mission_coverage_priorities_policy	missionCoveragePrioritiesPolicy	pending:	publishingPrinciples			NewsMediaOrganization	CreativeWork, URL				"For a <a class=""localLink"" href=""/NewsMediaOrganization"">NewsMediaOrganization</a>, a statement on coverage priorities, including any public agenda or stance on issues."
mobile-url	mobile_url	mobileUrl	pending:				Offer, Product	Text				"The <a class=""localLink"" href=""/mobileUrl"">mobileUrl</a> property is provided for specific situations in which data consumers need to determine whether one of several provided URLs is a dedicated 'mobile site'.<br/><br/>

To discourage over-use, and reflecting intial usecases, the property is expected only on <a class=""localLink"" href=""/Product"">Product</a> and <a class=""localLink"" href=""/Offer"">Offer</a>, rather than <a class=""localLink"" href=""/Thing"">Thing</a>. The general trend in web technology is towards <a href=""https://en.wikipedia.org/wiki/Responsive_web_design"">responsive design</a> in which content can be flexibly adapted to a wide range of browsing environments. Pages and sites referenced with the long-established <a class=""localLink"" href=""/url"">url</a> property should ideally also be usable on a wide variety of devices, including mobile phones. In most cases, it would be pointless and counter productive to attempt to update all <a class=""localLink"" href=""/url"">url</a> markup to use <a class=""localLink"" href=""/mobileUrl"">mobileUrl</a> for more mobile-oriented pages. The property is intended for the case when items (primarily <a class=""localLink"" href=""/Product"">Product</a> and <a class=""localLink"" href=""/Offer"">Offer</a>) have extra URLs hosted on an additional ""mobile site"" alongside the main one. It should not be taken as an endorsement of this publication style."
model	model	model					Product	ProductModel, Text				The model of the product. Use with the URL of a ProductModel or a textual representation of the model identifier. The URL of the ProductModel can be from an external source. It is recommended to additionally provide strong product identifiers via the gtin8/gtin13/gtin14 and mpn properties.
model-date	model_date	modelDate	https://auto.schema.org				Vehicle	Date				The release date of a vehicle model (often used to differentiate versions of the same make and model).
modified-time	modified_time	modifiedTime					Reservation	DateTime				The date and time the reservation was modified.
molecular-formula	molecular_formula	molecularFormula	pending:				MolecularEntity	Text				The empirical formula is the simplest whole number ratio of all the atoms in a molecule.
molecular-weight	molecular_weight	molecularWeight	pending:				MolecularEntity	QuantitativeValue, Text				"This is the molecular weight of the entity being described, not of the parent. Units should be included in the form '&lt;Number&gt; &lt;unit&gt;', for example '12 amu' or as '&lt;QuantitativeValue&gt;."
monoisotopic-molecular-weight	monoisotopic_molecular_weight	monoisotopicMolecularWeight	pending:				MolecularEntity	QuantitativeValue, Text				"The monoisotopic mass is the sum of the masses of the atoms in a molecule using the unbound, ground-state, rest mass of the principal (most abundant) isotope for each element instead of the isotopic average mass. Please include the units in the form '&lt;Number&gt; &lt;unit&gt;', for example '770.230488 g/mol' or as '&lt;QuantitativeValue&gt;."
